Claim Number,Claim Feature,Policy Number,Policy Effective Date,Loss Description,Type of injury,Loss state,Loss Date,Insured Company Name,Paid Indemnity,Paid DCC,Outstanding Indemnity,Outstanding DCC,Adjuster Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0024,Completed Operations,POL-GL-567890,2023-05-01,HVAC installation caused carbon monoxide leak,Bodily Injury,MN,2024-04-10,Superior Mechanical Systems,115000,32000,0,0,"04/10/2024 - CO POISONING: Family of 4 hospitalized from carbon monoxide exposure. Improper furnace venting discovered. LIABILITY ASSESSMENT: Very High (95%) - Installation clearly negligent. | 04/11/2024 - INVESTIGATION: Exhaust pipe incorrectly connected, venting CO into home instead of outside. Installation 6 months prior. Basic error no excuse for. | 04/12/2024 - MEDICAL STATUS: Parents and 8yo recovered quickly. 6mo infant still showing effects. All claiming cognitive issues. INJURY SEVERITY SCORE: Adults 4/10, Infant 7/10. | 04/18/2024 - COVERAGE CONFIRMED: Completed operations applies. Installation occurred during policy period. $2M limit. No prior CO claims but concerning pattern of installation errors. | 04/25/2024 - LEGAL REPRESENTATION: Meshbesher & Spence representing family (experienced PI firm). Focus on infant's potential developmental delays. | 05/05/2024 - MEDICAL COSTS: $45K hospital bills. Neuropsych testing ongoing for cognitive effects. Infant may need early intervention services. Long-term monitoring required. | 05/15/2024 - SETTLEMENT REACHED: $115K global settlement. Breakdown: $50K infant, $25K each parent, $15K older child. Includes future medical monitoring. | 05/25/2024 - CLOSED: Training program enhanced for all installers. Third-party inspection now required. Similar incidents must be prevented.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0025,Cyber Liability,POL-GL-890123,2024-03-01,Data breach exposed customer credit card information,Personal Injury,VA,2024-05-20,Online Retail Solutions,0,45000,250000,55000,"05/20/2024 - BREACH DISCOVERED: 10,000 customer credit cards exposed via SQL injection attack. PCI compliance failure. LIABILITY: High - basic security measures not implemented. | 05/21/2024 - NOTIFICATION STARTED: Legal requirement to notify within 72 hours. Breach notification vendor engaged. Costs mounting quickly. | 05/25/2024 - COVERAGE REVIEW: Limited cyber coverage on GL policy - $500K sublimit. Personal injury definition includes privacy violations. Coverage available but limited. | 06/01/2024 - REGULATORY: Virginia Attorney General investigation opened. Potential fines up to $150K. FTC also inquiring. Multi-state AG action possible. | 06/10/2024 - CLASS ACTION: Filed E.D. Va. #3:24-cv-00345. Seeking credit monitoring and statutory damages. Class size: 10,000. Per-person exposure adds up quickly. | 06/20/2024 - DEFENSE COUNSEL: McGuireWoods retained for breach response and litigation. Costly but necessary given regulatory scrutiny. | 07/01/2024 - COSTS MOUNTING: Forensics ($25K), notification ($20K), call center ($30K), legal ($45K to date). Haven't addressed actual claims yet. | ONGOING: Settlement discussions for 2-year credit monitoring program. $250K reserve may be insufficient. Excess carrier noticed.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0026,Premises Liability,POL-GL-123321,2023-09-01,Ceiling collapse in retail store,Bodily Injury,OH,2024-06-05,Midwest Shopping Centers LLC,78000,15000,0,0,"06/05/2024 - CEILING COLLAPSE: 20x20 section fell during business hours. 3 customers injured. LIABILITY ASSESSMENT: Very High (90%) - Maintenance deferred despite known leak. | 06/06/2024 - CAUSE DETERMINED: Roof leak led to ceiling tile saturation over months. Maintenance reports show leak reported 3 months ago, repeatedly deferred. | 06/08/2024 - INJURIES: Lisa Park (42yo) - neck/back soft tissue (most serious), two others minor cuts and bruises. INJURY SEVERITY SCORES: Park 5/10, others 2/10. | 06/12/2024 - COVERAGE CLEAR: Premises liability applicable. No exclusions. $2M limit adequate. Prior ceiling issue last year settled $22K - pattern emerging. | 06/18/2024 - CLAIMS STATUS: All 3 represented by same firm - Morgan & Morgan. Efficient but aggressive. Package deal likely. | 06/25/2024 GL-2024-0013,Assault,POL-GL-456456,2023-06-01,Customer attacked in parking lot,Bodily Injury,GA,2024-01-10,Peachtree Shopping Center LLC,42000,18000,0,0,01/10/2024 - INITIAL REPORT: Shopper Robert Hayes (52yo) robbed and assaulted in parking lot at 9 PM. Inadequate lighting alleged. LIABILITY ASSESSMENT: High (75%) - Third similar incident in 6 months",prior notice established. | 01/11/2024 - INVESTIGATION FINDINGS: Incident #3 in same area of lot. Prior police reports on file. Security recommendations ignored. Only 2 of 8 lights functioning. Clear foreseeability established. | 01/15/2024 - INJURIES DOCUMENTED: Broken nose,concussion,psychological trauma (PTSD diagnosis). Victim: Robert Hayes,bank manager. INJURY SEVERITY SCORE: 5/10 physical,7/10 including psychological. | 01/20/2024 - COVERAGE ANALYSIS: Premises liability for inadequate security. No assault/battery exclusion. Limits adequate at $2M. Prior similar claim last year settled $38K. | 01/25/2024 - LEGAL REPRESENTATION: Hayes retained Kaufman Law (premises security specialists). Prior incidents will be focus. Similar case = $150K verdict last year. | 02/05/2024 - CRIME STATISTICS: Police data shows 400% increase in area crime. Expert report: Security measures below industry standard for high-crime location. Mall knew of statistics. | 02/15/2024 - SETTLEMENT STRATEGY: Quick resolution at $42K to avoid punitive exposure for conscious disregard of known danger. Includes PTSD treatment costs. | 02/25/2024 - CLAIM CLOSED: Enhanced security implemented immediately - guards,cameras,"lighting. Total exposure contained through prompt action.""",,,,,,,,,,,,,,,,,,,
GL-2024-0014,Professional E&O,POL-GL-789123,2023-09-01,Accounting error led to client IRS penalties,Financial Loss,CT,2024-02-05,Premier Accounting Services,0,28000,150000,35000,"02/05/2024 - INITIAL REPORT: CPA firm error on corporate tax returns caused $125K in IRS penalties. No bodily injury. LIABILITY: High (90%) - Clear error in foreign income reporting, FBAR not filed. | 02/06/2024 - ERROR DETAILS: 2022 returns incorrectly reported foreign subsidiary income. Failed to file Form 5471 and FBAR. Penalties plus interest accruing. Clear professional negligence. | 02/10/2024 - COVERAGE CONFIRMED: Professional liability endorsement triggered. $1M limit, $25K deductible. Retroactive date 2015 satisfied. Claims-made policy, reported timely. | 02/20/2024 - CLIENT PROFILE: Mid-size manufacturing company, $50M revenue. Long-term client (10 years). IRS penalties creating cash flow issues. Relationship at risk. | Claim Number,Claim Feature,Policy Number,Policy Effective Date,Loss Description,Type of injury,Loss state,Loss Date,Insured Company Name,Paid Indemnity,Paid DCC,Outstanding Indemnity,Outstanding DCC,Adjuster Notes
GL-2023-0001,Slip and Fall,POL-GL-789456,2023-01-01,Customer slipped on wet floor in restaurant lobby,Bodily Injury,CA,2023-02-15,Bella Vista Restaurant Group,45000,12500,0,0,02/15/2023 - INITIAL REPORT: Claimant Maria Rodriguez (45yo) slipped on wet floor near entrance. No wet floor sign posted. Transported to ER via ambulance. LIABILITY ASSESSMENT: Strong (90%) - Clear breach of duty to warn. | 02/16/2023 - INVESTIGATION: Security footage confirms no warning sign. Floor recently mopped by employee at 1:45 PM",incident at 2:10 PM. Witness statements obtained from 3 patrons corroborate lack of warning. Similar incident 6 months prior - notice of dangerous condition established. | 02/18/2023 - MEDICAL UPDATE: Fractured right wrist (distal radius),soft tissue damage to lower back (lumbar strain). Initial medical bills $18,500. Treating physician: Dr. Sarah Chen,orthopedic. Prognosis: 8-12 weeks recovery,possible PT needed. INJURY SEVERITY SCORE: 4/10. | 02/25/2023 - COVERAGE ANALYSIS: Policy in force,BI coverage applies. $1M per occurrence limit. No applicable exclusions. Deductible: $1,000. Prior claims: 2 in past 3 years totaling $65K. | 03/10/2023 - SETTLEMENT DEMAND: Claimant represented by Johnson & Associates (experienced PI firm,typical multiplier 3-4x specials). Demand letter received for $75,000. Breakdown: $18,500 medicals,$3,500 lost wages,$53,000 pain/suffering. VENUE: Los Angeles Superior Court - plaintiff-friendly,average slip/fall verdict $125K. | 03/20/2023 - SETTLEMENT ANALYSIS: Comparable settlements: Similar injuries $35K-55K range. Key factors: Clear liability,sympathetic plaintiff (single mother),but minimal lost wages and good recovery expected. Reserve adjusted to $50K. LITIGATION RISK: Low-moderate if reasonable offer made. | 03/25/2023 - NEGOTIATION STRATEGY: Initial offer $30K. Plaintiff countered at $60K. Mediator Judge Smith involved. Final settlement $45,000 plus medicals. Key factor: Plaintiff needed quick resolution for financial reasons. SETTLEMENT RATIONALE: Within authority,avoids litigation costs ($25K estimated),similar case precedents support value. | 04/01/2023 - CLAIM CLOSED: Total paid $45,000 indemnity + $12,500 DCC (attorney fees $8K,investigation $2K,medical review $2,500). Recovery potential: None identified. LESSONS LEARNED: Implement 15-minute floor checks after mopping,"retrain staff on signage protocol."""
GL-2023-0002,Product Liability,POL-GL-234567,2022-07-01,Defective ladder caused fall during installation work,Bodily Injury,TX,2023-03-22,Summit Hardware Supply Co,125000,35000,75000,15000,"03/22/2023 - INITIAL REPORT: Professional contractor John Martinez fell from defective ladder sold by insured. Ladder leg buckled during use at 12-foot height. IMMEDIATE LIABILITY CONCERN: Product defect likely, strict liability applies. | 03/23/2023 - INVESTIGATION: Product inspector (PE Robert Wilson) confirmed manufacturing defect in aluminum weld. Batch #LDR-2022-445 affected - 500 units sold. Metallurgical analysis shows 60% weld penetration vs 100% required. Other incidents likely. LIABILITY ASSESSMENT: Strong (95%) under strict products liability. | 03/25/2023 - INJURIES DOCUMENTED: Claimant John Martinez (42yo, union contractor) - severe back injury, herniated discs L4-L5, requires fusion surgery. Lost wages significant ($1,500/week). INJURY SEVERITY SCORE: 7/10. Permanent partial disability expected 20-30%. | 04/01/2023 - COVERAGE VERIFICATION: Products-completed operations coverage confirmed. Limits: $2M per occurrence, $4M aggregate. Prior products claims: None. Potential for multiple claimants from batch. | 04/15/2023 - LITIGATION FILED: Harris County District Court, Case #2023-CV-18945. Plaintiff attorney: Rodriguez, Smith & Partners (aggressive products liability firm, recent $5M ladder verdict). VENUE ANALYSIS: Harris County historically awards 20% above state average for products cases. | 05/01/2023 - DEFENSE COUNSEL RETAINED: Baker & McKenzie, Houston office. Lead: Susan Chen, Esq. (25 years products defense experience). Initial assessment: Difficult to defend given clear defect. Recommend early settlement. | 06/15/2023 - DISCOVERY FINDINGS: 8 similar incidents found with same ladder batch. Manufacturer (China) judgment-proof. Our insured sole US distributor. CLASS ACTION RISK: High. Recall costs estimated $250K. | 08/20/2023 - MEDICAL UPDATE: Surgery completed 07/15. Complications with infection. Total meds $185,000. Future medical estimated $75K. Lost wages to date: $25K, future loss $200K over career. TOTAL ECONOMIC DAMAGES: $485K. | 10/15/2023 - SETTLEMENT CONFERENCE: Mediator Judge Johnson. Plaintiff demand $750K. Our offer $125K. Settled at $125K paid now, remaining reserved for future medical. SETTLEMENT FACTORS: Plaintiff's workers comp providing primary coverage reduced urgency. Structured settlement considered. | ONGOING EXPOSURE: 7 additional claims received. Aggregate exposure concern. Recommend purchasing additional reinsurance.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0003,Food Contamination,POL-GL-456789,2023-02-01,Multiple customers food poisoning from contaminated salad,Bodily Injury,NY,2023-04-10,Fresh Greens Cafe,85000,22000,0,0,"04/10/2023 - INITIAL REPORT: 12 customers reported severe food poisoning after consuming Caesar salad on 04/09. Health Dept emergency investigation launched. LIABILITY ASSESSMENT: Strong (85%), but potential vendor liability for contaminated produce. | 04/11/2023 - INVESTIGATION RESULTS: Romaine lettuce batch tested positive for E. coli O157:H7. Source traced to supplier (Green Valley Farms). CDC involvement confirmed. Health inspection found: Temperature logs incomplete, hand-washing stations inadequate. COMPARATIVE FAULT: Insured 60%, supplier 40%. | 04/12/2023 - CLAIMANT INVENTORY: 12 individuals affected - 4 hospitalized including 1 ICU admission (elderly customer Margaret Thompson, 78yo). Ages range 23-78. Three children affected. INJURY SEVERITY: Mild (8), Moderate (3), Severe (1). Monitoring for hemolytic uremic syndrome. | 04/15/2023 - COVERAGE ANALYSIS: Policy responds, aggregate limit $2M. Prior food contamination exclusion reviewed - does not apply (bacteria not excluded). Products liability coverage triggered. Vendor endorsement may allow recovery from supplier. REPORTING: Excess carrier notified as precaution. | 04/20/2023 - MEDICAL STATUS UPDATE: Total medical bills $65,000 and rising. ICU patient developing kidney complications. Pediatric cases resolved. KEY CONCERN: Elderly patient may have permanent kidney damage. Reserve increased to $150K. | 05/01/2023 - LEGAL REPRESENTATION: 3 claimants retained counsel (Marler Clark - national food poisoning firm). Demanding compensation plus punitive damages. LITIGATION RISK: High if elderly patient worsens. Venue (NYC) very plaintiff-friendly for food poisoning. | 05/15/2023 - SETTLEMENT STRATEGY: Proactive approach recommended. Resolved 8 minor claims @ $5,000 each (medicals plus $2-3K general damages). 3 moderate claims @ $15,000 each. ICU patient claim pending. PUBLIC RELATIONS: Assisted with press response, Yelp review management. | 06/01/2023 - FINAL RESOLUTION: All releases obtained. Elderly patient recovered, settled for $25K. Health Dept cleared restaurant after corrective actions. TOTAL INDEMNITY: $85K. SUBROGATION: Pursuing supplier, expect 40% recovery ($34K). RISK IMPROVEMENTS: Enhanced food safety protocols, supplier auditing implemented.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0004,Professional Liability,POL-GL-789012,2022-10-01,Engineering firm design error caused building foundation failure,Property Damage,FL,2023-05-18,Pinnacle Engineering Solutions,0,45000,250000,50000,"05/18/2023 - INITIAL REPORT: Foundation failure at newly constructed office building. Structural engineer's calculations allegedly incorrect. No bodily injury. LIABILITY ASSESSMENT: High (85%) - Clear design error in load calculations. | 05/19/2023 - SITE INSPECTION: Independent engineer (Dr. Michael Chen, PE) confirmed design flaw in load calculations. 40% under-designed for soil conditions. Building unsafe for occupancy. CAUSATION: Direct link between design error and failure. | 05/25/2023 - COVERAGE REVIEW: Professional liability endorsement applies. Retroactive date 01/01/2020 satisfied. Limits: $1M per claim, $2M aggregate. Prior claims: None. NOTICE TO EXCESS: Not required at this time. | 06/01/2023 - CLAIMANT PROFILE: Sunshine Development Corp - experienced developer, litigious history. Property damage: $2.5M estimated for complete remediation. Lost rental income: $100K/month. LITIGATION CERTAINTY: 100%. | 06/15/2023 - LITIGATION FILED: Miami-Dade Circuit Court #2023-CA-24561. Plaintiff counsel: Greenberg Traurig (top construction defect firm). Seeking $2.5M property damage + $1M economic loss. VENUE: Moderate, typical construction defect awards. | 07/01/2023 - DEFENSE STRATEGY: Holland & Knight retained. Initial assessment - significant exposure given clear error. Design review process documentation missing. Recommend early mediation. SETTLEMENT RANGE: $500K-$800K. | 08/15/2023 - EXPERT REPORTS: Dueling experts on repair scope. Our expert: $800K reasonable repair. Plaintiff expert: $2.5M for complete reconstruction. CREDIBILITY: Our expert more believable. | 10/01/2023 - DISCOVERY ISSUES: Design review process documentation missing. Former employee (key witness) relocated to Brazil. Spoliation argument possible. LITIGATION RISK: Increasing. | 12/01/2023 - MEDIATION SCHEDULED: January 2024 with mediator Judge Williams (construction specialist). Reserve increased to $300K based on exposure analysis. SETTLEMENT AUTHORITY: $500K requested.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0005,Slip and Fall,POL-GL-345678,2023-03-01,Customer tripped over torn carpet in hotel lobby,Bodily Injury,IL,2023-06-05,Grandview Hotel Management,32000,8500,0,0,"06/05/2023 - INITIAL REPORT: Guest Patricia Williams (62yo) tripped on torn carpet edge near check-in desk. Ambulance transport. LIABILITY ASSESSMENT: Strong (85%) - Maintenance logs show carpet repair scheduled but not completed for 3 weeks. | 06/06/2023 - INVESTIGATION FINDINGS: Torn carpet documented in maintenance system 05/15/2023. Work order created but deferred. Photos show 2-inch raised edge, clear trip hazard. Multiple staff aware of condition. PRIOR NOTICE: Established. | 06/08/2023 - MEDICAL DOCUMENTATION: Broken ankle (bimalleolar fracture), surgery required with hardware placement. Initial bills $28,000. Treating physician: Dr. Robert Lee, orthopedic surgeon. INJURY SEVERITY SCORE: 5/10. Age factor increases value. | 06/15/2023 - COVERAGE CONFIRMED: Premises liability coverage applicable. Limits: $1M/$2M. Deductible: $2,500. No applicable exclusions. Prior similar claims: 1 in past year ($18K settlement). | 06/20/2023 - CLAIMANT ATTORNEY: Law Offices of Murphy & Brown - local firm, reasonable reputation. Initial conversation cordial. Attorney indicated client wants fair resolution, not looking for windfall. LITIGATION RISK: Low if handled properly. | 07/01/2023 - SETTLEMENT DEMAND: $50,000 inclusive all damages. Breakdown: $28K medicals, $2K lost wages (part-time teacher), $20K pain/suffering. EVALUATION: Reasonable demand given clear liability and surgery. | 07/15/2023 - NEGOTIATION COMPLETE: Settled at $32,000. Factors: Quick healing expected, minimal lost wages, reasonable plaintiff counsel. SETTLEMENT BREAKDOWN: Medicals plus 1x multiplier. Release obtained without issues. | 07/25/2023 - CLAIM CLOSED: Total $32K indemnity + $8,500 DCC. Risk management implemented: Daily carpet inspection protocol, 48-hour repair requirement for trip hazards.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0006,Assault and Battery,POL-GL-901234,2022-12-01,Bar patron assaulted by security guard,Bodily Injury,NV,2023-07-12,Neon Nights Entertainment LLC,75000,25000,100000,25000,"07/12/2023 - INITIAL REPORT: Patron allegedly assaulted by security during removal from premises. Excessive force claim. LIABILITY ASSESSMENT: High (80%) - Video evidence shows patron was intoxicated but not combative when security initiated physical contact. | 07/13/2023 - INVESTIGATION COMPLETE: Security video (3 angles) shows security guard threw first punch. Patron was verbally argumentative but made no physical threats. Witness statements (5) corroborate excessive force. Guard had 2 prior complaints. | 07/15/2023 - INJURIES DOCUMENTED: Facial fractures (orbital, nasal), dental damage (3 teeth), concussion with post-concussive syndrome. Plastic surgery required. INJURY SEVERITY SCORE: 7/10. Visible permanent scarring likely. | 07/20/2023 - COVERAGE ANALYSIS: Assault & battery sublimit $500K per occurrence. Review security company indemnity agreement - poorly drafted, enforcement questionable. Criminal charges complicate coverage. | 08/01/2023 - CRIMINAL CASE: Security guard charged with assault. Criminal defense separate from civil. IMPACT: Strengthens plaintiff's civil case significantly. Punitive damage exposure. | 08/15/2023 - LITIGATION FILED: Clark County #A-23-876543. Plaintiff attorney: Benson & Hedges LLP (aggressive personal injury firm). Seeking compensatory and punitive damages. VENUE: Las Vegas juries can be unpredictable with assault cases. | 09/01/2023 - PUNITIVE DAMAGES RISK: Plaintiff seeking punitives based on: 1) Prior incidents 2) Lack of training 3) Retained guard after complaints. EXPOSURE: Could be 3-5x compensatories. | 10/15/2023 - PARTIAL SETTLEMENT: Paid $75K interim settlement to cover immediate medical needs and buy goodwill. Negotiations ongoing. STRATEGY: Avoid trial given punitive risk. | ONGOING RESERVES: Additional $125K reserved. Working toward global settlement including criminal restitution.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0007,Property Damage,POL-GL-567890,2023-01-15,Contractor damaged adjacent building during demolition,Property Damage,MA,2023-08-20,Boston Demolition Experts Inc,95000,15000,0,0,"08/20/2023 - INITIAL REPORT: Debris from demolition damaged roof and windows of adjacent property at 245 Commonwealth Ave. No injuries. LIABILITY: Clear (100%) - Our insured's operation directly caused damage. | 08/21/2023 - SITE INSPECTION: Confirmed impact damage from flying debris. 8 windows shattered, multiple roof punctures causing interior water damage. Photos documented. Adjacent owner cooperative. | 08/25/2023 - COVERAGE CONFIRMED: CGL policy covers property damage to others. No care, custody, control exclusion applicable as damaged property not in our insured's control. Limits adequate. | 09/01/2023 - REPAIR ESTIMATES: $85,000 total - Windows: $25K, Roof: $35K, Interior water damage: $25K. Estimates from 3 contractors, all similar range. Fair and reasonable. | 09/10/2023 - SUBROGATION REVIEW: Equipment operator may have violated safety protocols. However, our insured supervised operation. Limited recovery potential from operator. | 09/20/2023 - QUICK RESOLUTION: Insured accepts responsibility, wants to maintain good neighbor relations. Authorized direct payment to property owner for repairs. No attorney involvement. | 10/01/2023 - CLAIM CLOSED: Repairs completed satisfactorily. Full release obtained. Total paid: $95K (includes 10% for owner's inconvenience). Insured implemented new debris containment protocols.",,,,,,,,,,,,,,,,,,,,,,,,,,
